,period,period_end,pv_estimate
191,PT30M,2020-09-28T18:00:00.0000000Z,0.0
192,PT30M,2020-09-28T18:30:00.0000000Z,0.0
193,PT30M,2020-09-28T19:00:00.0000000Z,0.0
194,PT30M,2020-09-28T19:30:00.0000000Z,0.0
195,PT30M,2020-09-28T20:00:00.0000000Z,0.0
196,PT30M,2020-09-28T20:30:00.0000000Z,0.0
197,PT30M,2020-09-28T21:00:00.0000000Z,0.0
198,PT30M,2020-09-28T21:30:00.0000000Z,0.0
199,PT30M,2020-09-28T22:00:00.0000000Z,0.0
200,PT30M,2020-09-28T22:30:00.0000000Z,0.0
201,PT30M,2020-09-28T23:00:00.0000000Z,0.0
202,PT30M,2020-09-28T23:30:00.0000000Z,0.0
203,PT30M,2020-09-29T00:00:00.0000000Z,0.011
204,PT30M,2020-09-29T00:30:00.0000000Z,0.144
205,PT30M,2020-09-29T01:00:00.0000000Z,0.489
206,PT30M,2020-09-29T01:30:00.0000000Z,0.88
207,PT30M,2020-09-29T02:00:00.0000000Z,1.317
208,PT30M,2020-09-29T02:30:00.0000000Z,1.735
209,PT30M,2020-09-29T03:00:00.0000000Z,2.156
210,PT30M,2020-09-29T03:30:00.0000000Z,2.53
211,PT30M,2020-09-29T04:00:00.0000000Z,2.823
212,PT30M,2020-09-29T04:30:00.0000000Z,3.056
213,PT30M,2020-09-29T05:00:00.0000000Z,3.176
214,PT30M,2020-09-29T05:30:00.0000000Z,3.232
215,PT30M,2020-09-29T06:00:00.0000000Z,3.174
216,PT30M,2020-09-29T06:30:00.0000000Z,3.095
217,PT30M,2020-09-29T07:00:00.0000000Z,2.961
218,PT30M,2020-09-29T07:30:00.0000000Z,2.781
219,PT30M,2020-09-29T08:00:00.0000000Z,2.584
220,PT30M,2020-09-29T08:30:00.0000000Z,2.354
221,PT30M,2020-09-29T09:00:00.0000000Z,2.078
222,PT30M,2020-09-29T09:30:00.0000000Z,1.754
223,PT30M,2020-09-29T10:00:00.0000000Z,1.358
224,PT30M,2020-09-29T10:30:00.0000000Z,0.905
225,PT30M,2020-09-29T11:00:00.0000000Z,0.443
226,PT30M,2020-09-29T11:30:00.0000000Z,0.072
227,PT30M,2020-09-29T12:00:00.0000000Z,0.0
228,PT30M,2020-09-29T12:30:00.0000000Z,0.0
229,PT30M,2020-09-29T13:00:00.0000000Z,0.0
230,PT30M,2020-09-29T13:30:00.0000000Z,0.0
231,PT30M,2020-09-29T14:00:00.0000000Z,0.0
232,PT30M,2020-09-29T14:30:00.0000000Z,0.0
233,PT30M,2020-09-29T15:00:00.0000000Z,0.0
234,PT30M,2020-09-29T15:30:00.0000000Z,0.0
235,PT30M,2020-09-29T16:00:00.0000000Z,0.0
236,PT30M,2020-09-29T16:30:00.0000000Z,0.0
237,PT30M,2020-09-29T17:00:00.0000000Z,0.0
238,PT30M,2020-09-29T17:30:00.0000000Z,0.0
239,PT30M,2020-09-29T18:00:00.0000000Z,0.0
240,PT30M,2020-09-29T18:30:00.0000000Z,0.0
241,PT30M,2020-09-29T19:00:00.0000000Z,0.0
242,PT30M,2020-09-29T19:30:00.0000000Z,0.0
243,PT30M,2020-09-29T20:00:00.0000000Z,0.0
244,PT30M,2020-09-29T20:30:00.0000000Z,0.0
245,PT30M,2020-09-29T21:00:00.0000000Z,0.0
246,PT30M,2020-09-29T21:30:00.0000000Z,0.0
247,PT30M,2020-09-29T22:00:00.0000000Z,0.0
248,PT30M,2020-09-29T22:30:00.0000000Z,0.0
249,PT30M,2020-09-29T23:00:00.0000000Z,0.0
250,PT30M,2020-09-29T23:30:00.0000000Z,0.0
251,PT30M,2020-09-30T00:00:00.0000000Z,0.011
252,PT30M,2020-09-30T00:30:00.0000000Z,0.16
253,PT30M,2020-09-30T01:00:00.0000000Z,0.525
254,PT30M,2020-09-30T01:30:00.0000000Z,0.911
255,PT30M,2020-09-30T02:00:00.0000000Z,1.297
256,PT30M,2020-09-30T02:30:00.0000000Z,1.658
257,PT30M,2020-09-30T03:00:00.0000000Z,1.98
258,PT30M,2020-09-30T03:30:00.0000000Z,2.279
259,PT30M,2020-09-30T04:00:00.0000000Z,2.535
260,PT30M,2020-09-30T04:30:00.0000000Z,2.77
261,PT30M,2020-09-30T05:00:00.0000000Z,2.966
262,PT30M,2020-09-30T05:30:00.0000000Z,3.127
263,PT30M,2020-09-30T06:00:00.0000000Z,3.233
264,PT30M,2020-09-30T06:30:00.0000000Z,3.255
265,PT30M,2020-09-30T07:00:00.0000000Z,3.212
266,PT30M,2020-09-30T07:30:00.0000000Z,3.068
267,PT30M,2020-09-30T08:00:00.0000000Z,2.847
268,PT30M,2020-09-30T08:30:00.0000000Z,2.548
269,PT30M,2020-09-30T09:00:00.0000000Z,2.186
